area,perimetro,compacteness,Lkernel,wkernel,asymetry,lkgroove,class
15.26,14.84,871,5763,3312,2221,5.22,kama
14.88,14.57,0.8811,5554,3333,1018,4956,kama
14.29,14.09,905,5291,3337,2699,4825,kama
13.84,13.94,0.8955,5324,3379,2259,4805,kama
16.14,14.99,0.9034,5658,3562,1355,5175,kama
14.38,14.21,0.8951,5386,3312,2462,4956,kama
14.69,14.49,0.8799,5563,3259,3586,5219,kama
14.11,14.1,0.8911,5.42,3302,2.7,5,kama
16.63,15.46,0.8747,6053,3465,2.04,5877,kama
16.44,15.25,888,5884,3505,1969,5533,kama
15.26,14.85,0.8696,5714,3242,4543,5314,kama
14.03,14.16,0.8796,5438,3201,1717,5001,kama
13.89,14.02,888,5439,3199,3986,4738,kama
13.78,14.06,0.8759,5479,3156,3136,4872,kama
13.74,14.05,0.8744,5482,3114,2932,4825,kama
14.59,14.28,0.8993,5351,3333,4185,4781,kama
13.99,13.83,0.9183,5119,3383,5234,4781,kama
15.69,14.75,0.9058,5527,3514,1599,5046,kama
14.7,14.21,0.9153,5205,3466,1767,4649,kama
12.72,13.57,0.8686,5226,3049,4102,4914,kama
14.16,14.4,0.8584,5658,3129,3072,5176,kama
14.11,14.26,0.8722,5.52,3168,2688,5219,kama
15.88,14.9,0.8988,5618,3507,0.7651,5091,kama
12.08,13.23,0.8664,5099,2936,1415,4961,kama
15.01,14.76,0.8657,5789,3245,1791,5001,kama
16.19,15.16,0.8849,5833,3421,903,5307,kama
13.02,13.76,0.8641,5395,3026,3373,4825,kama
12.74,13.67,0.8564,5395,2956,2504,4869,kama
14.11,14.18,882,5541,3221,2754,5038,kama
13.45,14.02,0.8604,5516,3065,3531,5097,kama
13.16,13.82,0.8662,5454,2975,0.8551,5056,kama
15.49,14.94,0.8724,5757,3371,3412,5228,kama
14.09,14.41,0.8529,5717,3186,3.92,5299,kama
13.94,14.17,0.8728,5585,3.15,2124,5012,kama
15.05,14.68,0.8779,5712,3328,2129,5.36,kama
16.12,15,0.9,5709,3485,2.27,5443,kama
16.2,15.27,0.8734,5826,3464,2823,5527,kama
17.08,15.38,0.9079,5832,3683,2956,5484,kama
14.8,14.52,0.8823,5656,3288,3112,5309,kama
14.28,14.17,0.8944,5397,3298,6685,5001,kama
13.54,13.85,0.8871,5348,3156,2587,5178,kama
13.5,13.85,0.8852,5351,3158,2249,5176,kama
13.16,13.55,0.9009,5138,3201,2461,4783,kama
15.5,14.86,882,5877,3396,4711,5528,kama
15.11,14.54,0.8986,5579,3462,3128,5.18,kama
13.8,14.04,0.8794,5376,3155,1.56,4961,kama
15.36,14.76,0.8861,5701,3393,1367,5132,kama
14.99,14.56,0.8883,5.57,3377,2958,5175,kama
14.79,14.52,0.8819,5545,3291,2704,5111,kama
14.86,14.67,0.8676,5678,3258,2129,5351,kama
14.43,14.4,0.8751,5585,3272,3975,5144,kama
15.78,14.91,0.8923,5674,3434,5593,5136,kama
14.49,14.61,0.8538,5715,3113,4116,5396,kama
14.33,14.28,0.8831,5504,3199,3328,5224,kama
14.52,14.6,0.8557,5741,3113,1481,5487,kama
15.03,14.77,0.8658,5702,3212,1933,5439,kama
14.46,14.35,0.8818,5388,3377,2802,5044,kama
14.92,14.43,0.9006,5384,3412,1142,5088,kama
15.38,14.77,0.8857,5662,3419,1999,5222,kama
12.11,13.47,0.8392,5159,3032,1502,4519,kama
11.42,12.86,0.8683,5008,2.85,2.7,4607,kama
11.23,12.63,884,4902,2879,2269,4703,kama
12.36,13.19,0.8923,5076,3042,3.22,4605,kama
13.22,13.84,868,5395,3.07,4157,5088,kama
12.78,13.57,0.8716,5262,3026,1176,4782,kama
12.88,13.5,0.8879,5139,3119,2352,4607,kama
14.34,14.37,0.8726,5.63,3.19,1313,5.15,kama
14.01,14.29,0.8625,5609,3158,2217,5132,kama
14.37,14.39,0.8726,5569,3153,1464,5.3,kama
12.73,13.75,0.8458,5412,2882,3533,5067,kama
17.63,15.98,0.8673,6191,3561,4076,6.06,rosa
16.84,15.67,0.8623,5998,3484,4675,5877,rosa
17.26,15.73,0.8763,5978,3594,4539,5791,rosa
19.11,16.26,0.9081,6154,3.93,2936,6079,rosa
16.82,15.51,0.8786,6017,3486,4004,5841,rosa
16.77,15.62,0.8638,5927,3438,4.92,5795,rosa
17.32,15.91,0.8599,6064,3403,3824,5922,rosa
20.71,17.23,0.8763,6579,3814,4451,6451,rosa
18.94,16.49,875,6445,3639,5064,6362,rosa
17.12,15.55,0.8892,5.85,3566,2858,5746,rosa
16.53,15.34,0.8823,5875,3467,5532,5.88,rosa
18.72,16.19,0.8977,6006,3857,5324,5879,rosa
20.2,16.89,0.8894,6285,3864,5173,6187,rosa
19.57,16.74,0.8779,6384,3772,1472,6273,rosa
19.51,16.71,878,6366,3801,2962,6185,rosa
18.27,16.09,887,6173,3651,2443,6197,rosa
18.88,16.26,0.8969,6084,3764,1649,6109,rosa
18.98,16.66,859,6549,3.67,3691,6498,rosa
21.18,17.21,0.8989,6573,4033,5.78,6231,rosa
20.88,17.05,0.9031,6.45,4032,5016,6321,rosa
20.1,16.99,0.8746,6581,3785,1955,6449,rosa
18.76,16.2,0.8984,6172,3796,3.12,6053,rosa
18.81,16.29,0.8906,6272,3693,3237,6053,rosa
18.59,16.05,0.9066,6037,3.86,6001,5877,rosa
18.36,16.52,0.8452,6666,3485,4933,6448,rosa
16.87,15.65,0.8648,6139,3463,3696,5967,rosa
19.31,16.59,0.8815,6341,3.81,3477,6238,rosa
18.98,16.57,0.8687,6449,3552,2144,6453,rosa
18.17,16.26,0.8637,6271,3512,2853,6273,rosa
18.72,16.34,881,6219,3684,2188,6097,rosa
16.41,15.25,0.8866,5718,3525,4217,5618,rosa
17.99,15.86,0.8992,5.89,3694,2068,5837,rosa
19.46,16.5,0.8985,6113,3892,4308,6009,rosa
19.18,16.63,0.8717,6369,3681,3357,6229,rosa
18.95,16.42,0.8829,6248,3755,3368,6148,rosa
18.83,16.29,0.8917,6037,3786,2553,5879,rosa
18.85,16.17,0.9056,6152,3806,2843,6.2,rosa
17.63,15.86,0.88,6033,3573,3747,5929,rosa
19.94,16.92,0.8752,6675,3763,3252,6.55,rosa
18.55,16.22,0.8865,6153,3674,1738,5894,rosa
18.45,16.12,0.8921,6107,3769,2235,5794,rosa
19.38,16.72,0.8716,6303,3791,3678,5965,rosa
19.13,16.31,0.9035,6183,3902,2109,5924,rosa
19.14,16.61,0.8722,6259,3737,6682,6053,rosa
20.97,17.25,0.8859,6563,3991,4677,6316,rosa
19.06,16.45,0.8854,6416,3719,2248,6163,rosa
18.96,16.2,0.9077,6051,3897,4334,5.75,rosa
19.15,16.45,889,6245,3815,3084,6185,rosa
18.89,16.23,0.9008,6227,3769,3639,5966,rosa
20.03,16.9,0.8811,6493,3857,3063,6.32,rosa
20.24,16.91,0.8897,6315,3962,5901,6188,rosa
18.14,16.12,0.8772,6059,3563,3619,6011,rosa
16.17,15.38,0.8588,5762,3387,4286,5703,rosa
18.43,15.97,0.9077,5.98,3771,2984,5905,rosa
15.99,14.89,0.9064,5363,3582,3336,5144,rosa
18.75,16.18,0.8999,6111,3869,4188,5992,rosa
18.65,16.41,0.8698,6285,3594,4391,6102,rosa
17.98,15.85,0.8993,5979,3687,2257,5919,rosa
20.16,17.03,0.8735,6513,3773,1.91,6185,rosa
17.55,15.66,0.8991,5791,3.69,5366,5661,rosa
18.3,15.89,0.9108,5979,3755,2837,5962,rosa
18.94,16.32,0.8942,6144,3825,2908,5949,rosa
15.38,14.9,0.8706,5884,3268,4462,5795,rosa
16.16,15.33,0.8644,5845,3395,4266,5795,rosa
15.56,14.89,0.8823,5776,3408,4972,5847,rosa
15.38,14.66,899,5477,3465,3.6,5439,rosa
17.36,15.76,0.8785,6145,3574,3526,5971,rosa
15.57,15.15,0.8527,5.92,3231,2.64,5879,rosa
15.6,15.11,858,5832,3286,2725,5752,rosa
16.23,15.18,885,5872,3472,3769,5922,rosa
13.07,13.92,848,5472,2994,5304,5395,canadian
13.32,13.94,0.8613,5541,3073,7035,5.44,canadian
13.34,13.95,862,5389,3074,5995,5307,canadian
12.22,13.32,0.8652,5224,2967,5469,5221,canadian
11.82,13.4,0.8274,5314,2777,4471,5178,canadian
11.21,13.13,0.8167,5279,2687,6169,5275,canadian
11.43,13.13,0.8335,5176,2719,2221,5132,canadian
12.49,13.46,0.8658,5267,2967,4421,5002,canadian
12.7,13.71,0.8491,5386,2911,3.26,5316,canadian
10.79,12.93,0.8107,5317,2648,5462,5194,canadian
11.83,13.23,0.8496,5263,2.84,5195,5307,canadian
12.01,13.52,0.8249,5405,2776,6992,5.27,canadian
12.26,13.6,0.8333,5408,2833,4756,5.36,canadian
11.18,13.04,0.8266,5.22,2693,3332,5001,canadian
11.36,13.05,0.8382,5175,2755,4048,5263,canadian
11.19,13.05,0.8253,5.25,2675,5813,5219,canadian
11.34,12.87,0.8596,5053,2849,3347,5003,canadian
12.13,13.73,0.8081,5394,2745,4825,5.22,canadian
11.75,13.52,0.8082,5444,2678,4378,5.31,canadian
11.49,13.22,0.8263,5304,2695,5388,5.31,canadian
12.54,13.67,0.8425,5451,2879,3082,5491,canadian
12.02,13.33,0.8503,5.35,2.81,4271,5308,canadian
12.05,13.41,0.8416,5267,2847,4988,5046,canadian
12.55,13.57,0.8558,5333,2968,4419,5176,canadian
11.14,12.79,0.8558,5011,2794,6388,5049,canadian
12.1,13.15,0.8793,5105,2941,2201,5056,canadian
12.44,13.59,0.8462,5319,2897,4924,5.27,canadian
12.15,13.45,0.8443,5417,2837,3638,5338,canadian
11.35,13.12,0.8291,5176,2668,4337,5132,canadian
11.24,13,0.8359,5.09,2715,3521,5088,canadian
11.02,13,0.8189,5325,2701,6735,5163,canadian
11.55,13.1,0.8455,5167,2845,6715,4956,canadian
11.27,12.97,0.8419,5088,2763,4309,5,canadian
11.4,13.08,0.8375,5136,2763,5588,5089,canadian
10.83,12.96,0.8099,5278,2641,5182,5185,canadian
10.8,12.57,859,4981,2821,4773,5063,canadian
11.26,13.01,0.8355,5186,2.71,5335,5092,canadian
10.74,12.73,0.8329,5145,2642,4702,4963,canadian
11.48,13.05,0.8473,5.18,2758,5876,5002,canadian
12.21,13.47,0.8453,5357,2893,1661,5178,canadian
11.41,12.95,856,5.09,2775,4957,4825,canadian
12.46,13.41,0.8706,5236,3017,4987,5147,canadian
12.19,13.36,0.8579,5.24,2909,4857,5158,canadian
11.65,13.07,0.8575,5108,2.85,5209,5135,canadian
12.89,13.77,0.8541,5495,3026,6185,5316,canadian
11.56,13.31,0.8198,5363,2683,4062,5182,canadian
11.81,13.45,0.8198,5413,2716,4898,5352,canadian
10.91,12.8,0.8372,5088,2675,4179,4956,canadian
11.23,12.82,0.8594,5089,2821,7524,4957,canadian
10.59,12.41,0.8648,4899,2787,4975,4794,canadian
10.93,12.8,839,5046,2717,5398,5045,canadian
11.27,12.86,0.8563,5091,2804,3985,5001,canadian
11.87,13.02,0.8795,5132,2953,3597,5132,canadian
10.82,12.83,0.8256,5.18,2.63,4853,5089,canadian
12.11,13.27,0.8639,5236,2975,4132,5012,canadian
12.8,13.47,886,5.16,3126,4873,4914,canadian
12.79,13.53,0.8786,5224,3054,5483,4958,canadian
13.37,13.78,0.8849,5.32,3128,4.67,5091,canadian
12.62,13.67,0.8481,5.41,2911,3306,5231,canadian
12.76,13.38,0.8964,5073,3155,2828,4.83,canadian
12.38,13.44,0.8609,5219,2989,5472,5045,canadian
12.67,13.32,0.8977,4984,3135,2.3,4745,canadian
11.18,12.72,868,5009,2.81,4051,4828,canadian
12.7,13.41,0.8874,5183,3091,8456,5,canadian
12.37,13.47,0.8567,5204,2.96,3919,5001,canadian
12.19,13.2,0.8783,5137,2981,3631,4.87,canadian
11.23,12.88,0.8511,5.14,2795,4325,5003,canadian
13.2,13.66,0.8883,5236,3232,8315,5056,canadian
11.84,13.21,0.8521,5175,2836,3598,5044,canadian
12.3,13.34,0.8684,5243,2974,5637,5063,canadian
